기준,단백질,식이섬유,수분,비타민 C,티아민,리보플라빈,니아신,비타민 B6,엽산,비타민 B12,판토텐산,비오틴,비타민 A,비타민 D,비타민 E,비타민 K,칼슘,인,나트륨,염소,칼륨,마그네슘,철,아연,구리,불소,망간,요오드,셀레늄,루테인,제아잔틴,실리마린,몰리브덴,크로뮴
"유아 (1,2)",15,10,1100,35,0.5,0.5,6,0.6,150,0.9,2,9,300,5,5,25,500,450,0.9,1.3,2,80,6,3,280,0.6,1.5,80,23,20,2,140,200,7
"유아 (3,5)",20,15,1500,40,0.5,0.6,7,0.7,180,1.1,2,11,350,5,6,30,600,550,1,1.5,2.3,100,6,4,320,0.8,2,90,25,20,2,140,200,7
"남 (6,8)",30,20,1800,55,0.7,0.9,9,0.9,220,1.3,3,15,450,5,7,45,700,600,1.2,1.9,2.6,160,9,5,440,1,2.5,100,35,20,2,140,200,7
"남 (9,11)",40,20,2100,70,0.9,1.2,12,1.1,300,1.7,4,20,600,5,9,55,800,1200,1.4,2.1,3,230,10,8,580,2,3,110,45,20,2,140,200,7
"남 (12,14)",55,25,2300,90,1.1,1.5,15,1.5,360,2.3,5,25,750,10,10,70,1000,1200,1.5,2.3,3.5,320,14,8,740,2.5,4,130,60,20,2,140,200,7
"남 (15,18)",65,25,2600,105,1.3,1.7,17,1.5,400,2.7,5,30,850,10,11,80,900,1200,1.5,2.3,3.5,400,14,10,840,3,4,130,65,20,2,140,200,7
"남 (19,29)",65,25,2600,100,1.2,1.5,16,1.5,400,2.4,5,30,800,10,12,75,800,700,1.5,2.3,3.5,350,10,10,800,3.5,4,150,60,20,2,140,200,7
"남 (30,49)",60,25,2500,100,1.2,1.5,16,1.5,400,2.4,5,30,750,10,12,75,800,700,1.5,2.3,3.5,370,10,9,800,3,4,150,60,20,2,140,200,7
"남 (50,64)",60,25,2200,100,1.2,1.5,16,1.5,400,2.4,5,30,750,10,12,75,750,700,1.5,2.3,3.5,370,10,9,800,3,4,150,60,20,2,140,200,7
"남 (65,74)",55,25,2100,100,1.2,1.5,16,1.5,400,2.4,5,30,700,15,12,75,700,700,1.33,2,3.5,370,9,9,800,3,4,150,60,20,2,140,200,7
"남 (75,)",55,25,2100,100,1.2,1.5,16,1.5,400,2.4,5,30,700,15,12,75,700,700,1.1,1.7,3.5,370,9,9,800,3,4,150,60,20,2,140,200,7
"여 (6,8)",25,20,1700,60,0.7,0.8,9,0.9,220,1.3,3,15,400,5,7,45,700,550,1.2,1.9,2.6,150,8,5,440,1,2.5,100,35,20,2,140,200,7
"여 (9,11)",40,20,1900,80,0.9,1,12,1.1,300,1.7,4,20,550,5,9,55,800,1200,1.4,2.1,3,210,10,7,580,2,3,110,45,20,2,140,200,7
"여 (12,14)",50,20,2000,100,1.1,1.2,15,1.4,360,2.3,5,25,650,10,10,65,900,1200,1.5,2.3,3.5,290,16,7,740,2.5,3.5,130,60,20,2,140,200,7
"여 (15,18)",50,20,2000,95,1.2,1.2,14,1.4,400,2.4,5,30,600,10,11,65,800,1200,1.5,2.3,3.5,340,14,9,840,2.5,3.5,130,65,20,2,140,200,7
"여 (19,29)",55,20,2100,100,1.1,1.2,14,1.4,400,2.4,5,30,650,10,12,65,700,700,1.5,2.3,3.5,280,14,8,800,3,3.5,150,60,20,2,140,200,7
"여 (30,49)",50,20,2000,100,1.1,1.2,14,1.4,400,2.4,5,30,650,10,12,65,700,700,1.5,2.3,3.5,280,14,8,800,2.5,3.5,150,60,20,2,140,200,7
"여 (50,64)",50,20,1900,100,1.1,1.2,14,1.4,400,2.4,5,30,600,10,12,65,800,700,1.5,2.3,3.5,280,8,8,800,2.5,3.5,150,60,20,2,140,200,7
"여 (65,74)",45,20,1800,100,1.1,1.2,14,1.4,400,2.4,5,30,550,15,12,65,800,700,1.3,2,3.5,280,8,7,800,2.5,3.5,150,60,20,2,140,200,7
"여 (75,)",45,20,1800,100,1.1,1.2,14,1.4,400,2.4,5,30,550,15,12,65,800,700,1.1,1.7,3.5,280,7,7,800,2.5,3.5,150,60,20,2,140,200,7